pair_id,drug_a,drug_b,drugbank_id_a,drugbank_id_b,pubchem_cid_a,pubchem_cid_b,subset_assignment,public_release,primary_source,drugbank_version,drugbank_download_date,mcdex_module,salt_form,license_note
BL-001,Ceftazidime,Penicillin G,DB00438,DB01053,5481173,5904,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-002,Ceftazidime,Amoxicillin,DB00438,DB01060,5481173,33613,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-003,Cefazolin,Penicillin V,DB01327,DB00417,23675742,6869,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,MCDEX_DDI_20241202,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-004,Cefuroxime,Ampicillin,DB01112,DB00415,5479529,6249,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-005,Ceftriaxone,Piperacillin,DB01212,DB00319,5479530,43672,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-041,Meropenem,Clarithromycin,DB00760,DB01211,441130,84029,demonstration_public,1,DrugBank,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-042,Cefepime,Imipenem,DB01413,DB01598,5479533,5486192,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-043,Cefdinir,Allopurinol,DB00535,DB00437,6915944,135401907,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,MCDEX_DDI_20241202,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-044,Cefdinir,Cefepime,DB00535,DB01413,6915944,5479533,demonstration_public,1,DrugBank,5.1.8,2025-11-08,MCDEX_DDI_20241202,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-045,Cefepime,Clarithromycin,DB01413,DB01211,5479533,84029,demonstration_public,1,DrugBank,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-046,Cefaclor,Cefazolin,DB00833,DB01327,51038,23675742,demonstration_public,1,DrugBank,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-047,Amoxicillin,Cefazolin,DB01060,DB01327,33613,23675742,demonstration_public,1,DrugBank,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-048,Nifedipine,Meropenem,DB01115,DB00760,4485,441130,demonstration_public,1,DrugBank,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-049,Warfarin,Ibuprofen,DB00682,DB01050,54678486,3672,demonstration_public,1,DrugBank+MCDEX,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-050,Penicillin V,Aztreonam,DB00417,DB00355,6869,5746,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-051,Cefdinir,Ceftazidime,DB00535,DB00438,6915944,5481173,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-052,Ibuprofen,Penicillin G,DB01050,DB01053,3672,5904,demonstration_public,1,DrugBank+MCDEX,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-053,Cefdinir,Allopurinol,DB00535,DB00437,6915944,135401907,demonstration_public,1,DrugBank,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-054,Cefaclor,Allopurinol,DB00833,DB00437,51038,135401907,demonstration_public,1,DrugBank+PubChem,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-055,Ampicillin,Ceftriaxone,DB00415,DB01212,6249,5479530,demonstration_public,1,DrugBank,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-056,Imipenem,Ceftazidime,DB01598,DB00438,5486192,5481173,demonstration_public,1,DrugBank,5.1.8,2025-11-08,,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
BL-057,Ampicillin,Cefazolin,DB00415,DB01327,6249,23675742,demonstration_public,1,DrugBank,5.1.8,2025-11-08,MCDEX_DDI_20241202,free_base_or_acid,DrugBank academic license; PubChem Terms of Use
